target,model_name,threshold,precision,recall,f1,flags_n,flags_pct
vitamin_b12_deficiency,lr,0.1,0.02397718156698458,0.9781818181818182,0.0468070297546546,11219,0.687607256680559
vitamin_b12_deficiency,lr,0.15,0.025018953752843062,0.96,0.04876697146023829,10552,0.6467271390046581
vitamin_b12_deficiency,lr,0.2,0.026516673362796304,0.96,0.05160785846935784,9956,0.6101985780828635
vitamin_b12_deficiency,lr,0.25,0.027931146476128613,0.9381818181818182,0.05424726661059714,9237,0.5661314047560677
vitamin_b12_deficiency,lr,0.3,0.028978678289551182,0.8945454545454545,0.056138749429484255,8489,0.5202868350085805
vitamin_b12_deficiency,lr,0.35,0.030933194697166624,0.8654545454545455,0.059731459405195135,7694,0.47156165726893845
vitamin_b12_deficiency,lr,0.4,0.03225339890078102,0.8109090909090909,0.062039226596188615,6914,0.4237558225055161
vitamin_b12_deficiency,lr,0.45,0.0327653997378768,0.7272727272727273,0.06270575325286094,6104,0.37411130178965435
vitamin_b12_deficiency,lr,0.5,0.03483060525314047,0.6654545454545454,0.06619641888225719,5254,0.3220151998038735
vitamin_b12_deficiency,lr,0.55,0.038289296909986566,0.6218181818181818,0.07213668002531111,4466,0.27371904878646725
vitamin_b12_deficiency,lr,0.6,0.041914548404543,0.5636363636363636,0.07802668009061163,3698,0.22664868840402058
vitamin_b12_deficiency,lr,0.65,0.041391304347826084,0.43272727272727274,0.07555555555555556,2875,0.17620740377543515
vitamin_b12_deficiency,lr,0.7,0.047465437788018434,0.37454545454545457,0.08425357873210634,2170,0.13299828389311105
vitamin_b12_deficiency,lr,0.75,0.05273972602739726,0.28,0.08876080691642652,1460,0.08948271635204708
vitamin_b12_deficiency,lr,0.8,0.05997693194925029,0.1890909090909091,0.09106830122591943,867,0.053138024025496444
vitamin_b12_deficiency,lr,0.85,0.052752293577981654,0.08363636363636363,0.06469760900140646,436,0.026722235842118167
vitamin_b12_deficiency,lr,0.9,0.047619047619047616,0.025454545454545455,0.03317535545023697,147,0.009009561166952685
vitamin_b12_deficiency,rf_cal,0.1,0.06875,0.04,0.05057471264367816,160,0.009806325079676392
vitamin_b12_deficiency,rf_cal,0.15,0.03225806451612903,0.0036363636363636364,0.0065359477124183,31,0.0018999754841873009
vitamin_b12_deficiency,rf_cal,0.2,0.037037037037037035,0.0036363636363636364,0.00662251655629139,27,0.001654817357195391
vitamin_b12_deficiency,rf_cal,0.25,0.041666666666666664,0.0036363636363636364,0.006688963210702341,24,0.0014709487619514587
vitamin_b12_deficiency,rf_cal,0.3,0.05,0.0036363636363636364,0.006779661016949152,20,0.001225790634959549
vitamin_b12_deficiency,rf_cal,0.35,0.0625,0.0036363636363636364,0.006872852233676977,16,0.000980632507967639
vitamin_b12_deficiency,rf_cal,0.4,0.0,0.0,0.0,0,0.0
vitamin_b12_deficiency,rf_cal,0.45,0.0,0.0,0.0,0,0.0
vitamin_b12_deficiency,rf_cal,0.5,0.0,0.0,0.0,0,0.0
vitamin_b12_deficiency,rf_cal,0.55,0.0,0.0,0.0,0,0.0
vitamin_b12_deficiency,rf_cal,0.6,0.0,0.0,0.0,0,0.0
vitamin_b12_deficiency,rf_cal,0.65,0.0,0.0,0.0,0,0.0
vitamin_b12_deficiency,rf_cal,0.7,0.0,0.0,0.0,0,0.0
vitamin_b12_deficiency,rf_cal,0.75,0.0,0.0,0.0,0,0.0
vitamin_b12_deficiency,rf_cal,0.8,0.0,0.0,0.0,0,0.0
vitamin_b12_deficiency,rf_cal,0.85,0.0,0.0,0.0,0,0.0
vitamin_b12_deficiency,rf_cal,0.9,0.0,0.0,0.0,0,0.0
vitamin_d_deficiency,lr,0.1,0.3615199034981906,0.9996664442961974,0.5310063784549964,16580,0.9987951807228915
vitamin_d_deficiency,lr,0.15,0.3675382338431179,0.9939959973315544,0.536646857554475,16216,0.9768674698795181
vitamin_d_deficiency,lr,0.2,0.3826644005752386,0.97631754503002,0.5498262421339345,15298,0.921566265060241
vitamin_d_deficiency,lr,0.25,0.3982756223056598,0.9553035356904603,0.5621748944940622,14382,0.8663855421686747
vitamin_d_deficiency,lr,0.3,0.4151112438405256,0.9272848565710473,0.5734914904589994,13394,0.8068674698795181
vitamin_d_deficiency,lr,0.35,0.43331968890708145,0.882755170113409,0.5812970182856515,12215,0.7358433734939759
vitamin_d_deficiency,lr,0.4,0.45679919199338903,0.8297198132088058,0.5892106354000118,10891,0.6560843373493976
vitamin_d_deficiency,lr,0.45,0.4792464878671775,0.7510006671114076,0.5851091476091477,9396,0.5660240963855422
vitamin_d_deficiency,lr,0.5,0.5054763117677025,0.6619412941961308,0.5732235701906413,7852,0.4730120481927711
vitamin_d_deficiency,lr,0.55,0.539906103286385,0.5562041360907272,0.5479339521892713,6177,0.37210843373493974
vitamin_d_deficiency,lr,0.6,0.576336697444707,0.447631754503002,0.503895616258331,4657,0.2805421686746988
vitamin_d_deficiency,lr,0.65,0.6107673267326733,0.32921947965310205,0.42782834850455137,3232,0.1946987951807229
vitamin_d_deficiency,lr,0.7,0.647780925401322,0.22881921280853904,0.3381809218634459,2118,0.12759036144578315
vitamin_d_deficiency,lr,0.75,0.6978922716627635,0.14909939959973315,0.24570564793184002,1281,0.07716867469879518
vitamin_d_deficiency,lr,0.8,0.7332361516034985,0.08388925950633756,0.15055372642921283,686,0.041325301204819274
vitamin_d_deficiency,lr,0.85,0.765079365079365,0.04019346230820547,0.0763745840595785,315,0.01897590361445783
vitamin_d_deficiency,lr,0.9,0.794392523364486,0.014176117411607738,0.027855153203342618,107,0.006445783132530121
vitamin_d_deficiency,rf_cal,0.1,0.3678948342899463,0.9941627751834556,0.5370512185233568,16203,0.9760843373493976
vitamin_d_deficiency,rf_cal,0.15,0.4012667135819845,0.9509673115410273,0.5643868157972879,14210,0.8560240963855422
vitamin_d_deficiency,rf_cal,0.2,0.41980378736025553,0.9206137424949966,0.5766518673282841,13149,0.7921084337349398
vitamin_d_deficiency,rf_cal,0.25,0.4380865376629848,0.8797531687791861,0.5849087985806953,12041,0.7253614457831326
vitamin_d_deficiency,rf_cal,0.3,0.45974075125366637,0.8103735823882589,0.5866586175671596,10569,0.6366867469879518
vitamin_d_deficiency,rf_cal,0.35,0.4865651589789521,0.7248165443629087,0.582261521972133,8932,0.5380722891566265
vitamin_d_deficiency,rf_cal,0.4,0.5228265782733162,0.5787191460973983,0.5493548642444391,6637,0.39981927710843373
vitamin_d_deficiency,rf_cal,0.45,0.5555555555555556,0.45947298198799197,0.5029666818804199,4959,0.29873493975903614
vitamin_d_deficiency,rf_cal,0.5,0.5927431059506532,0.3405603735823883,0.4325812943544116,3445,0.2075301204819277
vitamin_d_deficiency,rf_cal,0.55,0.6388088376560999,0.22181454302868578,0.3292894280762565,2082,0.12542168674698795
vitamin_d_deficiency,rf_cal,0.6,0.6732909379968204,0.14126084056037358,0.23352633030052383,1258,0.07578313253012048
vitamin_d_deficiency,rf_cal,0.65,0.7330316742081447,0.08105403602401601,0.14596786304249884,663,0.03993975903614458
vitamin_d_deficiency,rf_cal,0.7,0.7482185273159145,0.052535023348899264,0.09817671809256662,421,0.02536144578313253
vitamin_d_deficiency,rf_cal,0.75,0.7903930131004366,0.03018679119412942,0.05815261044176707,229,0.013795180722891567
vitamin_d_deficiency,rf_cal,0.8,0.7672413793103449,0.014843228819212809,0.02912303664921466,116,0.006987951807228916
vitamin_d_deficiency,rf_cal,0.85,0.76,0.0031687791861240828,0.006311243979405414,25,0.0015060240963855422
vitamin_d_deficiency,rf_cal,0.9,0.7777777777777778,0.0011674449633088727,0.002331390507910075,9,0.0005421686746987952
vitamin_deficiency_any,lr,0.1,0.3689765394125807,0.9993466187520418,0.5389596088622649,16581,0.9983141670178819
vitamin_deficiency_any,lr,0.15,0.37496145544249154,0.9931394968964391,0.5443882347674263,16215,0.9762779216087664
vitamin_deficiency_any,lr,0.2,0.3899334116725421,0.9756615485135577,0.5571828358208955,15318,0.9222710578601963
vitamin_deficiency_any,lr,0.25,0.40582120582120584,0.9565501470107808,0.5698715453483846,14430,0.8688060689987356
vitamin_deficiency_any,lr,0.3,0.4218958611481976,0.9291081345965371,0.5802897367884106,13482,0.811728580889879
vitamin_deficiency_any,lr,0.35,0.43891769280622167,0.8850049003593596,0.5868081880212282,12344,0.743211511830935
vitamin_deficiency_any,lr,0.4,0.46055610904809346,0.8306109114668409,0.5925537493445202,11041,0.6647600698416521
vitamin_deficiency_any,lr,0.45,0.4858555053107582,0.7546553413917021,0.5911330049261083,9509,0.5725209223914745
vitamin_deficiency_any,lr,0.5,0.5108022741629816,0.6604050963737341,0.5760490133219348,7915,0.476548859052321
vitamin_deficiency_any,lr,0.55,0.5459093109569146,0.5525971904606338,0.5492328922802177,6197,0.37311096393521587
vitamin_deficiency_any,lr,0.6,0.5843531468531469,0.4367853642600457,0.49990652458403445,4576,0.2755132759347342
vitamin_deficiency_any,lr,0.65,0.6222501571338781,0.3234237177393009,0.4256233877901978,3182,0.19158287675356733
vitamin_deficiency_any,lr,0.7,0.6553699284009546,0.22427311336164651,0.3341852257514908,2095,0.12613643205490999
vitamin_deficiency_any,lr,0.75,0.7069655724579663,0.14423391048676903,0.23958757292090627,1249,0.07520019266662653
vitamin_deficiency_any,lr,0.8,0.7344461305007587,0.07905913100294022,0.14275180651821265,659,0.039677283400565956
vitamin_deficiency_any,lr,0.85,0.7766323024054983,0.03691604050963737,0.07048183377514423,291,0.017520621349870553
vitamin_deficiency_any,lr,0.9,0.7941176470588235,0.013230970271153218,0.026028277634961444,102,0.006141248720573183
vitamin_deficiency_any,rf_cal,0.1,0.3759826679046735,0.9921594250245018,0.545315796561476,16155,0.9726654223613703
vitamin_deficiency_any,rf_cal,0.15,0.40880151122927305,0.9544266579549167,0.5724222385500857,14293,0.8605575290505147
vitamin_deficiency_any,rf_cal,0.2,0.42348117778606037,0.9279647174126102,0.5815631877975124,13415,0.8076946233969534
vitamin_deficiency_any,rf_cal,0.25,0.4421052631578947,0.8918654034629206,0.5911650064963188,12350,0.7435727617556747
vitamin_deficiency_any,rf_cal,0.3,0.4626360559773164,0.8262005880431231,0.5931398416886544,10933,0.6582575711963393
vitamin_deficiency_any,rf_cal,0.35,0.4896890343698854,0.733093760209082,0.5871655655131811,9165,0.5518092600397375
vitamin_deficiency_any,rf_cal,0.4,0.5198177047369148,0.6148317543286508,0.5633465539175335,7241,0.4359684508399061
vitamin_deficiency_any,rf_cal,0.45,0.556508481036783,0.476968311009474,0.5136775441991381,5247,0.31591305918477935
vitamin_deficiency_any,rf_cal,0.5,0.5886719824030795,0.34972231296961775,0.4387744645967825,3637,0.21897766271298694
vitamin_deficiency_any,rf_cal,0.55,0.6379928315412187,0.23260372427311335,0.3409145319607374,2232,0.13438497200313082
vitamin_deficiency_any,rf_cal,0.6,0.6714905933429812,0.1515844495262986,0.24733475479744138,1382,0.08320789933168764
vitamin_deficiency_any,rf_cal,0.65,0.7117346938775511,0.09114668409016662,0.16159860990443092,784,0.04720332349930761
vitamin_deficiency_any,rf_cal,0.7,0.7358870967741935,0.05962103887618425,0.11030522816560895,496,0.02986332711180685
vitamin_deficiency_any,rf_cal,0.75,0.7984189723320159,0.03299575302188827,0.06337254901960784,253,0.015232705159853092
vitamin_deficiency_any,rf_cal,0.8,0.7285714285714285,0.008330610911466842,0.016472868217054265,70,0.004214582455295322
vitamin_deficiency_any,rf_cal,0.85,0.75,0.0024501796798431885,0.00488440247476392,20,0.0012041664157986633
vitamin_deficiency_any,rf_cal,0.9,0.5,0.0001633453119895459,0.0003265839320705421,2,0.00012041664157986634
