column,sentinel_value,count,fraction,column_min,column_max,q95,likely_special_missing_code
slq040___how_often_do_you_snort_or_stop_breathing,9,323,0.043431491192685225,0.0,9.0,3.0,True
bpq060___ever_had_blood_cholesterol_checked,9,250,0.033615705257496305,1.0,9.0,2.0,True
diq180___had_blood_tested_past_three_years,9,174,0.023396530859217425,1.0,9.0,2.0,True
mcq300a___close_relative_had_heart_attack,9,162,0.021782977006857603,1.0,9.0,2.0,True
mcq300b___close_relative_had_asthma,9,133,0.017883555196988032,1.0,9.0,2.0,True
huq051___#times_receive_healthcare_over_past_year,7,110,0.014790910313298372,0.0,99.0,6.0,True
paq655___days_vigorous_recreational_activities,7,103,0.013849670566088476,1.0,99.0,6.0,True
mcq300c___close_relative_had_diabetes,9,90,0.012101653892698669,1.0,9.0,2.0,True
mcq092___ever_receive_blood_transfusion,9,52,0.006992066693559231,1.0,9.0,2.0,True
bpq080___doctor_told_you___high_cholesterol_level,9,37,0.004975124378109453,1.0,9.0,2.0,True
smq078___how_soon_after_waking_do_you_smoke,7,34,0.004571735915019497,1.0,99.0,5.0,True
whq225___times_lost_10_lbs_or_more_to_lose_weight,9,30,0.004033884630899556,1.0,9.0,5.0,True
heq010___ever_told_you_have_hepatitis_b?,9,29,0.003899421809869571,1.0,9.0,2.0,True
heq030___ever_told_you_have_hepatitis_c?,9,28,0.003764958988839586,1.0,9.0,2.0,True
mcq170m___still_have_thyroid_problem,9,27,0.003630496167809601,1.0,9.0,2.0,True
osq230___any_metal_objects_inside_your_body?,9,24,0.003227107704719645,1.0,9.0,2.0,True
mcq035___still_have_asthma,9,23,0.00309264488368966,1.0,9.0,2.0,True
rhq078___ever_treated_for_a_pelvic_infection/pid?,9,21,0.0028237192416296895,1.0,9.0,2.0,True
mcq160d___ever_told_you_had_angina,9,20,0.002689256420599704,1.0,9.0,2.0,True
diq275___past_year_dr_checked_for_a1c,9,19,0.002554793599569719,1.0,9.0,2.0,True
kiq026___ever_had_kidney_stones?,9,19,0.002554793599569719,1.0,9.0,2.0,True
rhq305___had_both_ovaries_removed?,9,19,0.002554793599569719,1.0,9.0,2.0,True
bpq070___when_blood_cholesterol_last_checked,9,16,0.002151405136479763,1.0,9.0,4.0,True
rhd143___are_you_pregnant_now?,9,16,0.002151405136479763,1.0,9.0,2.0,True
rhq160___how_many_times_have_been_pregnant?,9,15,0.002016942315449778,1.0,77.0,7.0,True
whq030___how_do_you_consider_your_weight,9,15,0.002016942315449778,1.0,9.0,3.0,True
huq051___#times_receive_healthcare_over_past_year,99,14,0.001882479494419793,0.0,99.0,6.0,True
kiq029___pass_kidney_stone_in_past_12_months?,9,13,0.0017480166733898077,1.0,9.0,2.0,True
mcq160a___ever_told_you_had_arthritis,9,13,0.0017480166733898077,1.0,9.0,2.0,True
rhq540___ever_use_female_hormones?,9,13,0.0017480166733898077,1.0,9.0,2.0,True
mcq550___has_dr_ever_said_you_have_gallstones,9,12,0.0016135538523598225,1.0,9.0,2.0,True
cdq010___shortness_of_breath_on_stairs/inclines,9,11,0.0014790910313298372,1.0,9.0,2.0,True
diq160___ever_told_you_have_prediabetes,9,11,0.0014790910313298372,1.0,9.0,2.0,True
mcq053___taking_treatment_for_anemia/past_3_mos,9,11,0.0014790910313298372,1.0,9.0,2.0,True
mcq160b___ever_told_you_had_congestive_heart_failure,9,11,0.0014790910313298372,1.0,9.0,2.0,True
mcq160c___ever_told_you_had_coronary_heart_disease,9,11,0.0014790910313298372,1.0,9.0,2.0,True
mcq160l___ever_told_you_had_any_liver_condition,9,11,0.0014790910313298372,1.0,9.0,2.0,True
mcq160m___ever_told_you_had_thyroid_problem,9,11,0.0014790910313298372,1.0,9.0,2.0,True
bpq090d___told_to_take_prescriptn_for_cholesterol,9,10,0.001344628210299852,1.0,9.0,2.0,True
diq360___last_time_had_pupils_dilated_for_exam,9,10,0.001344628210299852,1.0,9.0,5.0,True
mcd093___year_receive_blood_transfusion,9,10,0.001344628210299852,1.0,9.0,3.0,True
cdq002___sp_get_it_walking_uphill_or_in_a_hurry,9,9,0.0012101653892698668,1.0,9.0,2.0,True
mcq080___doctor_ever_said_you_were_overweight,9,9,0.0012101653892698668,1.0,9.0,2.0,True
mcq160e___ever_told_you_had_heart_attack,9,9,0.0012101653892698668,1.0,9.0,2.0,True
mcq366c___doctor_told_to_reduce_salt,9,9,0.0012101653892698668,1.0,9.0,2.0,True
alq290___#_times_12+_drinks_in_1_day/past_12_mos,99,8,0.0010757025682398816,0.0,99.0,10.0,True
bpq020___ever_told_you_had_high_blood_pressure,9,8,0.0010757025682398816,1.0,9.0,2.0,True
mcq010___ever_been_told_you_have_asthma,9,8,0.0010757025682398816,1.0,9.0,2.0,True
mcq160f___ever_told_you_had_stroke,9,8,0.0010757025682398816,1.0,9.0,2.0,True
mcq160p___ever_told_you_had_copd_emphysema,9,8,0.0010757025682398816,1.0,9.0,2.0,True
mcq371a___doing_controlling_weight,9,8,0.0010757025682398816,1.0,9.0,2.0,True
rhq172___any_babies_weigh_9_lbs_or_more?,9,8,0.0010757025682398816,1.0,9.0,2.0,True
paq625___number_of_days_moderate_work,99,7,0.0009412397472098965,1.0,99.0,7.0,True
alq151___ever_have_4/5_or_more_drinks_every_day?,9,6,0.0008067769261799112,1.0,9.0,2.0,True
any_root_caries,9,6,0.0008067769261799112,1.0,9.0,2.0,True
hud062___how_long_since_last_healthcare_visit,99,6,0.0008067769261799112,0.0,99.0,4.0,True
mcq366d___doctor_told_to_reduce_fat_in_diet,9,6,0.0008067769261799112,1.0,9.0,2.0,True
mcq520___abdominal_pain_during_past_12_months?,9,6,0.0008067769261799112,1.0,9.0,2.0,True
smd100fl___cigarette_filter_type,9,6,0.0008067769261799112,0.0,9.0,1.0,True
huq010___general_health_condition,7,5,0.000672314105149926,1.0,9.0,4.0,True
kiq005___how_often_have_urinary_leakage?,9,5,0.000672314105149926,1.0,9.0,4.0,True
kiq022___ever_told_you_had_weak/failing_kidneys?,9,5,0.000672314105149926,1.0,9.0,2.0,True
kiq044___urinated_before_reaching_the_toilet?,9,5,0.000672314105149926,1.0,9.0,2.0,True
kiq046___leak_urine_during_nonphysical_activities,9,5,0.000672314105149926,1.0,9.0,2.0,True
mcq371d___doing_reducing_fat_in_diet,9,5,0.000672314105149926,1.0,9.0,2.0,True
mcq530___where_was_the_most_uncomfortable_pain,9,5,0.000672314105149926,1.0,9.0,3.0,True
"rxduse___taken_prescription_medicine,_past_month",7,5,0.000672314105149926,1.0,9.0,2.0,True
slq050___ever_told_doctor_had_trouble_sleeping?,9,5,0.000672314105149926,1.0,9.0,2.0,True
"whq040___like_to_weigh_more,_less_or_same",9,5,0.000672314105149926,1.0,9.0,3.0,True
agq030___did_sp_have_episode_of_hay_fever/past_yr,9,4,0.0005378512841199408,1.0,9.0,2.0,True
bpq030___told_had_high_blood_pressure___2+_times,9,4,0.0005378512841199408,1.0,9.0,2.0,True
cdq008___severe_pain_in_chest_more_than_half_hour,9,4,0.0005378512841199408,1.0,9.0,2.0,True
diq230___how_long_ago_saw_a_diabetes_specialist,9,4,0.0005378512841199408,1.0,9.0,5.0,True
huq010___general_health_condition,9,4,0.0005378512841199408,1.0,9.0,4.0,True
kiq042___leak_urine_during_physical_activities?,9,4,0.0005378512841199408,1.0,9.0,2.0,True
kiq480___how_many_times_urinate_in_night?,9,4,0.0005378512841199408,0.0,9.0,4.0,True
mcq220___ever_told_you_had_cancer_or_malignancy,9,4,0.0005378512841199408,1.0,9.0,2.0,True
ocd383___main_reason_did_not_work_last_week,99,4,0.0005378512841199408,1.0,99.0,7.0,True
paq605___vigorous_work_activity,9,4,0.0005378512841199408,1.0,9.0,2.0,True
paq620___moderate_work_activity,9,4,0.0005378512841199408,1.0,9.0,2.0,True
paq640___number_of_days_walk_or_bicycle,99,4,0.0005378512841199408,1.0,99.0,7.0,True
rhd043___reason_not_having_regular_periods,99,4,0.0005378512841199408,1.0,99.0,9.0,True
"rxduse___taken_prescription_medicine,_past_month",9,4,0.0005378512841199408,1.0,9.0,2.0,True
any_root_restoration_caries,9,3,0.0004033884630899556,1.0,9.0,2.0,True
cdq006___how_soon_is_the_pain_relieved,9,3,0.0004033884630899556,1.0,9.0,2.0,True
diq010___doctor_told_you_have_diabetes,9,3,0.0004033884630899556,1.0,9.0,2.0,True
dpq040___feeling_tired_or_having_little_energy,9,3,0.0004033884630899556,0.0,9.0,3.0,True
heq040___ever_prescribed_meds_treat_hepatitis_c?,9,3,0.0004033884630899556,1.0,9.0,2.0,True
kiq005___how_often_have_urinary_leakage?,7,3,0.0004033884630899556,1.0,9.0,4.0,True
kiq042___leak_urine_during_physical_activities?,7,3,0.0004033884630899556,1.0,9.0,2.0,True
kiq044___urinated_before_reaching_the_toilet?,7,3,0.0004033884630899556,1.0,9.0,2.0,True
kiq046___leak_urine_during_nonphysical_activities,7,3,0.0004033884630899556,1.0,9.0,2.0,True
mcq040___had_asthma_attack_in_past_year,9,3,0.0004033884630899556,1.0,9.0,2.0,True
mcq371c___doing_reducing_salt,9,3,0.0004033884630899556,1.0,9.0,2.0,True
rhq074___tried_for_a_year_to_become_pregnant?,7,3,0.0004033884630899556,1.0,9.0,2.0,True
rhq160___how_many_times_have_been_pregnant?,77,3,0.0004033884630899556,1.0,77.0,7.0,True
rhq540___ever_use_female_hormones?,7,3,0.0004033884630899556,1.0,9.0,2.0,True
slq040___how_often_do_you_snort_or_stop_breathing,7,3,0.0004033884630899556,0.0,9.0,3.0,True
LBXHCG_hepatitis_c_genotype,9,2,0.0002689256420599704,1.0,9.0,5.599999999999994,True
LBXSGTSI_gamma_glutamyl_transferase_ggt_iu_l,7,2,0.0002689256420599704,-1.2857142857142858,112.61904761904762,3.2799999999999963,True
cdq005___does_standing_relieve_pain/discomfort,9,2,0.0002689256420599704,1.0,9.0,2.0,True
diq080___diabetes_affected_eyes/had_retinopathy,9,2,0.0002689256420599704,1.0,9.0,2.0,True
diq240___is_there_one_dr_you_see_for_diabetes,9,2,0.0002689256420599704,1.0,9.0,2.0,True
dpq040___feeling_tired_or_having_little_energy,7,2,0.0002689256420599704,0.0,9.0,3.0,True
ggt_u_l,7,2,0.0002689256420599704,-1.2857142857142858,112.61904761904762,3.2799999999999963,True
huq030___routine_place_to_go_for_healthcare,9,2,0.0002689256420599704,1.0,9.0,2.0,True
huq090___seen_mental_health_professional/past_yr,9,2,0.0002689256420599704,1.0,9.0,2.0,True
mcq366a___doctor_told_to_control_weight,9,2,0.0002689256420599704,1.0,9.0,2.0,True
mcq366b___doctor_told_to_increase_exercise,9,2,0.0002689256420599704,1.0,9.0,2.0,True
mcq371b___doing_increasing_exercise,9,2,0.0002689256420599704,1.0,9.0,2.0,True
mcq560___ever_had_gallbladder_surgery?,9,2,0.0002689256420599704,1.0,9.0,2.0,True
ocq210___usually_work_35_or_more_hours_per_week,9,2,0.0002689256420599704,1.0,9.0,2.0,True
ocq670___overall_work_schedule_past_3_months,9,2,0.0002689256420599704,1.0,9.0,5.0,True
paq610___number_of_days_vigorous_work,99,2,0.0002689256420599704,1.0,99.0,7.0,True
paq670___days_moderate_recreational_activities,99,2,0.0002689256420599704,1.0,99.0,7.0,True
rhd167___total_number_of_deliveries,77,2,0.0002689256420599704,0.0,77.0,5.0,True
rhd280___had_a_hysterectomy?,9,2,0.0002689256420599704,1.0,9.0,2.0,True
rhq031___had_regular_periods_in_past_12_months,7,2,0.0002689256420599704,1.0,9.0,2.0,True
rhq074___tried_for_a_year_to_become_pregnant?,9,2,0.0002689256420599704,1.0,9.0,2.0,True
rhq076___seen_a_dr_b/c_unable_to_become_pregnant?,7,2,0.0002689256420599704,1.0,9.0,2.0,True
rhq078___ever_treated_for_a_pelvic_infection/pid?,7,2,0.0002689256420599704,1.0,9.0,2.0,True
rhq131___ever_been_pregnant?,7,2,0.0002689256420599704,1.0,9.0,2.0,True
rhq171___how_many_deliveries_live_birth_result?,77,2,0.0002689256420599704,0.0,77.0,5.0,True
smd100mn___cigarette_menthol_indicator,9,2,0.0002689256420599704,0.0,9.0,1.0,True
smq020___smoked_at_least_100_cigarettes_in_life,7,2,0.0002689256420599704,1.0,9.0,2.0,True
LBXSATSI_alanine_aminotransferase_alt_u_l,7,1,0.0001344628210299852,-1.2105263157894737,26.551020408163264,1.0285714285714211,True
alt_u_l,7,1,0.0001344628210299852,-1.2105263157894737,26.551020408163264,1.0285714285714211,True
bpq040a___taking_prescription_for_hypertension,9,1,0.0001344628210299852,1.0,9.0,2.0,True
bpq060___ever_had_blood_cholesterol_checked,7,1,0.0001344628210299852,1.0,9.0,2.0,True
bpq100d___now_taking_prescribed_medicine,9,1,0.0001344628210299852,1.0,9.0,2.0,True
bun_mg_dl,7,1,0.0001344628210299852,-1.4,8.466666666666667,1.2266666666666424,True
cdq001___sp_ever_had_pain_or_discomfort_in_chest,9,1,0.0001344628210299852,1.0,9.0,2.0,True
diq050___taking_insulin_now,9,1,0.0001344628210299852,1.0,9.0,2.0,True
diq070___take_diabetic_pills_to_lower_blood_sugar,9,1,0.0001344628210299852,1.0,9.0,2.0,True
diq180___had_blood_tested_past_three_years,7,1,0.0001344628210299852,1.0,9.0,2.0,True
heq010___ever_told_you_have_hepatitis_b?,7,1,0.0001344628210299852,1.0,9.0,2.0,True
huq030___routine_place_to_go_for_healthcare,7,1,0.0001344628210299852,1.0,9.0,2.0,True
huq071___overnight_hospital_patient_in_last_year,9,1,0.0001344628210299852,1.0,9.0,2.0,True
kiq010___how_much_urine_lose_each_time?,9,1,0.0001344628210299852,1.0,9.0,3.0,True
kiq430___how_frequently_does_this_occur?,7,1,0.0001344628210299852,1.0,7.0,4.0,True
kiq450___how_frequently_does_this_occur?,9,1,0.0001344628210299852,1.0,9.0,3.0,True
kiq480___how_many_times_urinate_in_night?,7,1,0.0001344628210299852,0.0,9.0,4.0,True
mcq035___still_have_asthma,7,1,0.0001344628210299852,1.0,9.0,2.0,True
mcq160m___ever_told_you_had_thyroid_problem,7,1,0.0001344628210299852,1.0,9.0,2.0,True
mcq371d___doing_reducing_fat_in_diet,7,1,0.0001344628210299852,1.0,9.0,2.0,True
mcq540___ever_seen_a_dr_about_this_pain,9,1,0.0001344628210299852,1.0,9.0,2.0,True
ocd150___type_of_work_done_last_week,7,1,0.0001344628210299852,1.0,7.0,4.0,True
ocd383___main_reason_did_not_work_last_week,77,1,0.0001344628210299852,1.0,99.0,7.0,True
ocq670___overall_work_schedule_past_3_months,7,1,0.0001344628210299852,1.0,9.0,5.0,True
paq605___vigorous_work_activity,7,1,0.0001344628210299852,1.0,9.0,2.0,True
paq635___walk_or_bicycle,9,1,0.0001344628210299852,1.0,9.0,2.0,True
paq655___days_vigorous_recreational_activities,99,1,0.0001344628210299852,1.0,99.0,6.0,True
rhq031___had_regular_periods_in_past_12_months,9,1,0.0001344628210299852,1.0,9.0,2.0,True
rhq076___seen_a_dr_b/c_unable_to_become_pregnant?,9,1,0.0001344628210299852,1.0,9.0,2.0,True
rhq131___ever_been_pregnant?,9,1,0.0001344628210299852,1.0,9.0,2.0,True
"rhq162___during_pregnancy,_told_you_have_diabetes",7,1,0.0001344628210299852,1.0,9.0,2.0,True
"rhq162___during_pregnancy,_told_you_have_diabetes",9,1,0.0001344628210299852,1.0,9.0,2.0,True
rhq172___any_babies_weigh_9_lbs_or_more?,7,1,0.0001344628210299852,1.0,9.0,2.0,True
slq050___ever_told_doctor_had_trouble_sleeping?,7,1,0.0001344628210299852,1.0,9.0,2.0,True
smq020___smoked_at_least_100_cigarettes_in_life,9,1,0.0001344628210299852,1.0,9.0,2.0,True
smq078___how_soon_after_waking_do_you_smoke,99,1,0.0001344628210299852,1.0,99.0,5.0,True
whq030___how_do_you_consider_your_weight,7,1,0.0001344628210299852,1.0,9.0,3.0,True
rhd043___reason_not_having_regular_periods,7,751,0.10098157859351889,1.0,99.0,9.0,False
paq640___number_of_days_walk_or_bicycle,7,498,0.06696248487293263,1.0,99.0,7.0,False
paq625___number_of_days_moderate_work,7,445,0.05983595535834342,1.0,99.0,7.0,False
slq030___how_often_do_you_snore?,9,429,0.057684550221863654,0.0,9.0,9.0,False
mcq195___which_type_of_arthritis_was_it?,9,371,0.04988570660212451,1.0,9.0,9.0,False
paq670___days_moderate_recreational_activities,7,305,0.04101116041414549,1.0,99.0,7.0,False
ocd383___main_reason_did_not_work_last_week,7,269,0.036170498857066025,1.0,99.0,7.0,False
paq610___number_of_days_vigorous_work,7,226,0.030388597552776658,1.0,99.0,7.0,False
rhd043___reason_not_having_regular_periods,9,150,0.02016942315449778,1.0,99.0,9.0,False
rhq160___how_many_times_have_been_pregnant?,7,76,0.010219174398278876,1.0,77.0,7.0,False
diq291___what_does_dr_say_a1c_should_be,99,69,0.00927793465106898,1.0,99.0,99.0,False
alq290___#_times_12+_drinks_in_1_day/past_12_mos,9,45,0.0060508269463493344,0.0,99.0,10.0,False
alq290___#_times_12+_drinks_in_1_day/past_12_mos,7,43,0.005781901304289364,0.0,99.0,10.0,False
mcq170l___still_have_liver_condition,9,36,0.004840661557079467,1.0,9.0,9.0,False
mcq510a___liver_condition_fatty_liver,99,26,0.0034960333467796154,1.0,99.0,99.0,False
rhq570___used_estrogen/progestin_combo_pills,9,17,0.0022858679575097486,1.0,9.0,9.0,False
rhq554___use_hormone_pills_w/estrogen_only,9,16,0.002151405136479763,1.0,9.0,9.0,False
cdq009g___pain_in_left_arm,7,11,0.0014790910313298372,7.0,7.0,7.0,False
heq020___ever_prescribed_meds_treat_hepatitis_b?,9,10,0.001344628210299852,1.0,9.0,9.0,False
rhq070___age_range_at_last_menstrual_period,99,9,0.0012101653892698668,1.0,99.0,99.0,False
rhq020___age_range_at_first_menstrual_period,9,6,0.0008067769261799112,2.0,9.0,9.0,False
slq030___how_often_do_you_snore?,7,3,0.0004033884630899556,0.0,9.0,9.0,False
mcq195___which_type_of_arthritis_was_it?,7,1,0.0001344628210299852,1.0,9.0,9.0,False
rhq020___age_range_at_first_menstrual_period,7,1,0.0001344628210299852,2.0,9.0,9.0,False
rhq070___age_range_at_last_menstrual_period,7,1,0.0001344628210299852,1.0,99.0,99.0,False
